Order_No,Time from Pickup to Arrival
Order_No_23183,1997.3593750553848
Order_No_1786,2304.7093596930868
Order_No_17033,1216.218581565714
Order_No_6084,1238.351286148958
Order_No_5317,1646.3084225375787
Order_No_15332,1004.9350472649677
Order_No_1199,1562.8372819040087
Order_No_21864,2608.107533025533
Order_No_611,2302.125883689325
Order_No_18430,2181.5113795952348
Order_No_8474,2021.5944179181824
Order_No_6339,1124.8193100312199
Order_No_14947,616.6361765212641
Order_No_16077,2146.522900593598
Order_No_21778,569.0515881608735
Order_No_19143,1634.0581847791034
Order_No_25000,2218.9575275139873
Order_No_340,1451.7032082087244
Order_No_8955,1485.7788425740582
Order_No_6197,2011.915256671913
Order_No_1974,3004.258449724737
Order_No_22457,2144.9930865712813
Order_No_24241,2074.5720252354513
Order_No_23433,3009.8743856134615
Order_No_21373,1548.8402733676776
Order_No_15311,1243.2056455228594
Order_No_12748,1883.9236374092002
Order_No_11668,1915.0367395122007
Order_No_9978,2046.2766463776495
Order_No_17127,492.9657011673117
Order_No_14906,3062.420104560617
Order_No_19354,1025.2890727732447
Order_No_15209,689.1287787102193
Order_No_12025,1001.7022817691903
Order_No_26437,1187.0532284158396
Order_No_4137,1114.3518618208473
Order_No_12169,1390.4869612039186
Order_No_104,1362.307905731548
Order_No_2403,680.563821778007
Order_No_8736,1626.9191321269318
Order_No_15145,1419.6073179248779
Order_No_25380,1612.0529611686359
Order_No_7545,2550.285980118148
Order_No_14573,2442.7233418826168
Order_No_24305,1563.6183643250645
Order_No_23769,1561.3169610670684
Order_No_23205,2712.3364231833257
Order_No_20815,1316.94445144565
Order_No_8308,1396.3384604224705
Order_No_20121,1730.7032784952899
Order_No_20598,2253.965367809209
Order_No_2574,2032.4882474132846
Order_No_1601,1621.1619373716912
Order_No_19084,1197.972252471178
Order_No_23351,1056.8573577651061
Order_No_17426,2176.7178497469085
Order_No_3798,1527.5240004887255
Order_No_20354,2623.9917536085873
Order_No_24096,2015.7458742612307
Order_No_21215,1796.161826537611
Order_No_16573,1550.074678300627
Order_No_6731,2214.6912021293697
Order_No_3166,2230.230024873412
Order_No_18679,1669.727535361404
Order_No_23900,2581.561898042115
Order_No_18436,1432.4000206619767
Order_No_1450,374.61272581363477
Order_No_9797,1593.7650096715754
Order_No_21124,1383.9608470354087
Order_No_27808,1402.5187882606203
Order_No_15877,1127.3557255706544
Order_No_14360,897.0266502796385
Order_No_6247,693.2989162842223
Order_No_1823,1662.3667275371115
Order_No_8264,1572.1427825527592
Order_No_4106,1613.6486649639553
Order_No_2288,1768.4551470601584
Order_No_26162,904.0196108176317
Order_No_16072,1474.785072754923
Order_No_24205,505.4494405186561
Order_No_3870,798.9486010015827
Order_No_7297,1677.5138718086234
Order_No_26757,1536.4361631472711
Order_No_27741,669.3532566425421
Order_No_15767,1111.6992967079714
Order_No_11781,1853.386763045972
Order_No_8813,891.2867239849292
Order_No_19702,1732.9116285460473
Order_No_6457,1583.1780596087335
Order_No_6180,1632.3509772637046
Order_No_9305,1382.6159470379062
Order_No_16992,1286.534482167437
Order_No_5873,1477.2639338650627
Order_No_14553,1208.2269762857761
Order_No_4007,3138.661065084256
Order_No_13713,1721.6287359312555
Order_No_20690,887.6884068292128
Order_No_27131,1608.5835809363634
Order_No_17404,1460.8962034681754
Order_No_1121,1689.6920346490515
Order_No_10915,1634.6408888820445
Order_No_7190,1178.223337376432
Order_No_26054,733.1633720206592
Order_No_19459,1471.551007403963
Order_No_11439,2057.319491817092
Order_No_24422,1563.5080462787882
Order_No_10627,3029.728372373945
Order_No_9507,1690.3184883521753
Order_No_9063,2358.6299465111024
Order_No_15612,657.1053019624615
Order_No_20974,1621.431799855718
Order_No_7106,1556.5205336444576
Order_No_21900,1329.8930543975239
Order_No_20501,2374.6473503253446
Order_No_10649,1562.7599389702173
Order_No_14031,769.8831814501555
Order_No_26207,1660.5820154219198
Order_No_24879,1330.5699837705852
Order_No_26211,2217.9293888610355
Order_No_15163,1781.5829939322812
Order_No_8174,1902.5428105281696
Order_No_10670,1615.8653377952087
Order_No_1480,1418.2193659696438
Order_No_7556,2262.358458793251
Order_No_21894,2147.6994001905928
Order_No_16903,1501.3400403395153
Order_No_20181,1296.6685265467768
Order_No_7301,652.8385561703562
Order_No_4814,906.402673204293
Order_No_25817,1565.320028063123
Order_No_5155,754.9724381675278
Order_No_5658,1759.6276298617975
Order_No_7421,394.0255328908042
Order_No_18730,2249.9559238218008
Order_No_20915,751.1755056947586
Order_No_11317,513.4930702875081
Order_No_1571,1256.3909631363206
Order_No_13963,1343.8669903268985
Order_No_25600,2363.9847132864106
Order_No_653,2261.327741289841
Order_No_21929,1610.125543035343
Order_No_10722,1471.6864904672839
Order_No_23724,1629.3427153720786
Order_No_16625,1204.84793285263
Order_No_10125,1134.6636514178535
Order_No_20308,1351.04126731444
Order_No_4518,1144.6815072196566
Order_No_3406,795.4758781960353
Order_No_605,1552.399042394807
Order_No_27507,1234.8496130509102
Order_No_9352,2038.2828064168368
Order_No_12374,1534.3666347781927
Order_No_21981,587.4043589234008
Order_No_23293,398.5910513059498
Order_No_10595,1720.8002729239904
Order_No_14569,188.49837983282669
Order_No_22459,1372.3262761232706
Order_No_18244,688.257089123823
Order_No_22006,765.7455540991742
Order_No_16555,634.6113300378147
Order_No_15352,1135.1668346922181
Order_No_6045,351.4279002055118
Order_No_5785,895.4459176934123
Order_No_25261,1101.939398927827
Order_No_16004,1391.7876722188464
Order_No_4666,1099.3349032380884
Order_No_6848,1306.9429483197255
Order_No_16999,1863.2304724248625
Order_No_4454,1088.6389964881619
Order_No_19867,1296.7062959510456
Order_No_8525,607.4258957729852
Order_No_14830,683.967864678556
Order_No_5166,1210.707397747532
Order_No_8600,1455.8384072230926
Order_No_1424,514.4698108249377
Order_No_28124,1748.3800390384658
Order_No_202,1708.4528036217087
Order_No_21239,383.35277579223657
Order_No_28220,2515.706370169546
Order_No_20883,1119.073702198928
Order_No_25796,492.2214519992649
Order_No_17399,1225.7052953864713
Order_No_6474,1798.6870893635587
Order_No_25744,1344.4785973287453
Order_No_28183,1060.7095457402556
Order_No_14439,1324.268065143502
Order_No_9133,1380.0510163365198
Order_No_113,496.84263492056925
Order_No_7040,974.9859615140393
Order_No_18205,1539.510420056971
Order_No_26927,820.0931560986011
Order_No_13238,1267.6092964284853
Order_No_22130,2056.121963570224
Order_No_21276,968.8375869414393
Order_No_1805,836.6606788681382
Order_No_22296,1422.6169155268963
Order_No_3341,1154.924443898004
Order_No_25656,1025.2936549171372
Order_No_14258,954.1107524472554
Order_No_16747,2811.2522913374487
Order_No_17893,2907.6197593776524
Order_No_8127,1700.886456549837
Order_No_22518,1769.1579769046218
Order_No_23458,3190.209759441066
Order_No_6376,1683.7364710853146
Order_No_13274,2108.772136951273
Order_No_15872,1191.5202889950594
Order_No_26843,1298.57190730382
Order_No_11606,1184.486379669339
Order_No_17119,1745.1970524682931
Order_No_2920,2467.648133956029
Order_No_26188,1618.311212433482
Order_No_6170,2144.7096032561767
Order_No_3297,1183.6020652884415
Order_No_14832,1342.6192911637281
Order_No_3262,2040.1346272747126
Order_No_26825,2272.388589811957
Order_No_16348,982.6678703877496
Order_No_19181,750.4306532397313
Order_No_9628,1705.5062091717355
Order_No_12321,847.6027499892081
Order_No_5373,1585.9479092317054
Order_No_11408,1542.470043542533
Order_No_17595,2160.6716944141667
Order_No_6673,865.0807098078802
Order_No_24820,1588.7842770002114
Order_No_27980,885.1990232568878
Order_No_22,2100.5097212223427
Order_No_12144,1571.775733311486
Order_No_27423,1854.9567206679003
Order_No_27750,540.794620970375
Order_No_9598,2407.9868613828603
Order_No_24154,1360.4842600662905
Order_No_8101,1468.5755869658988
Order_No_19215,1017.4576972187295
Order_No_13735,1198.8215388991905
Order_No_21382,1478.5230793987955
Order_No_14598,1526.6646786902654
Order_No_18882,1982.445372229771
Order_No_22210,1177.5834042194565
Order_No_17315,1307.466235646798
Order_No_15936,658.3009420936814
Order_No_20424,1181.1463691324552
Order_No_8544,939.6013800293094
Order_No_1945,884.4674631426843
Order_No_15723,1210.1931530793465
Order_No_14246,608.2292670787665
Order_No_17804,866.228295350762
Order_No_6307,1391.0437383905319
Order_No_21140,1234.0857361780745
Order_No_27783,1448.1253733798019
Order_No_16698,1280.9619786364292
Order_No_4055,2250.6803111876525
Order_No_24360,2273.204036837773
Order_No_23304,1494.5747656648543
Order_No_18831,540.6161351398041
Order_No_8221,1304.6746598963894
Order_No_17708,725.1667230113762
Order_No_8804,1017.3179046087697
Order_No_1287,1224.5195870650732
Order_No_8582,1252.1524800758486
Order_No_22982,1444.2751618159036
Order_No_5673,1268.138171942148
Order_No_265,1327.5566553238116
Order_No_10919,737.1913220338411
Order_No_25941,917.8407076723524
Order_No_10818,1914.4415363051032
Order_No_7955,1230.8459845893174
Order_No_21808,917.7655389562517
Order_No_15316,1263.3948918734475
Order_No_4569,1117.211393697633
Order_No_26467,1648.363770404927
Order_No_18042,1388.0185165901294
Order_No_1690,927.7622934858027
Order_No_23240,1407.4961259033096
Order_No_6518,1721.4697915949894
Order_No_15554,1320.554765440038
Order_No_10496,1050.440726477662
Order_No_14374,1460.1329586042355
Order_No_26952,1394.3895414690726
Order_No_4877,1120.9569724285775
Order_No_13214,1469.346218274799
Order_No_23220,1318.845463247484
Order_No_8668,1183.3502599142755
Order_No_17800,1408.2399964103042
Order_No_19852,1382.5264105375188
Order_No_27728,1271.4763892951978
Order_No_4520,1554.8685350388787
Order_No_22070,1557.6572427645824
Order_No_8558,1651.3423456208347
Order_No_14907,1088.764798848637
Order_No_18319,1415.7962754044947
Order_No_16097,1930.3512502364847
Order_No_2417,1152.6885405512096
Order_No_11575,938.5634493699564
Order_No_15,1086.6349238682105
Order_No_4679,721.3150604153869
Order_No_26060,1146.2153018338229
Order_No_15503,419.2710076151561
Order_No_7661,1424.6658320521035
Order_No_1830,1454.5602627129792
Order_No_21557,1281.394948568501
Order_No_13473,634.889144339797
Order_No_13008,3135.6314225669576
Order_No_18509,1378.9239795243866
Order_No_3829,288.1174022837022
Order_No_6065,1326.9453576331525
Order_No_14799,3058.4466053275555
Order_No_1776,579.5246753046176
Order_No_12463,1642.2255174017137
Order_No_6604,2569.5723208746804
Order_No_1799,2175.1940065754848
Order_No_10157,1944.0291723012726
Order_No_9766,647.9511805263992
Order_No_5814,1172.2249346857225
Order_No_14030,1934.0523016666793
Order_No_13176,391.65808275725607
Order_No_4656,1408.7410610716415
Order_No_5529,1704.4490369905343
Order_No_7690,578.2356031843174
Order_No_19956,2072.8358677185406
Order_No_22252,765.3162031264218
Order_No_10533,1367.6541180205768
Order_No_8881,3262.171130204589
Order_No_10182,1449.8969980317436
Order_No_13944,1478.574959108848
Order_No_6048,1585.384407960324
Order_No_12388,806.5759073836908
Order_No_25071,1463.3642124242417
Order_No_13153,1441.5616894054492
Order_No_25366,1617.433954911403
Order_No_7696,1665.3206558099282
Order_No_2007,3017.758230094145
Order_No_19309,1502.9921432601786
Order_No_19227,960.7326173088312
Order_No_21284,2258.472040431554
Order_No_23202,873.8423105591299
Order_No_8939,2091.3055411803157
Order_No_19778,744.0580202057845
Order_No_23557,936.050178106956
Order_No_4701,1185.807464491425
Order_No_7447,866.958831567661
Order_No_27215,1229.954744748853
Order_No_26093,2622.9425735558416
Order_No_20488,1900.0883763677066
Order_No_9560,622.3813059631011
Order_No_26678,2397.1825807366786
Order_No_20208,2416.2248541828976
Order_No_21879,1595.9903268464639
Order_No_9237,1805.2996070704046
Order_No_13651,670.3717369969328
Order_No_5812,1925.985457286015
Order_No_10902,1710.8494463492914
Order_No_6327,1374.621481800199
Order_No_1435,1295.5673528433344
Order_No_21248,2379.0137299787184
Order_No_24214,1538.8301050752634
Order_No_22384,1988.4888542251429
Order_No_17635,3302.3394173087213
Order_No_8977,930.7276861088029
Order_No_8944,1865.947340984654
Order_No_21206,989.837774865542
Order_No_24952,1225.4687728878926
Order_No_24037,883.2249470310871
Order_No_5344,680.3042175824812
Order_No_5735,359.33234022231227
Order_No_9938,447.0197428159827
Order_No_9572,2522.740202535775
Order_No_17057,1419.2843105353913
Order_No_2630,1358.5750012296648
Order_No_328,951.5191861053264
Order_No_26349,1385.2583216356088
Order_No_119,926.5226184829463
Order_No_25779,827.3226553920923
Order_No_16033,1379.5012545063892
Order_No_16640,1297.6233725468428
Order_No_2440,674.1489438465596
Order_No_1930,474.52984464460496
Order_No_26105,449.3323658276295
Order_No_20741,1748.1158088913744
Order_No_20896,1242.5110181062573
Order_No_11100,406.5609599442632
Order_No_28180,2503.4939661718468
Order_No_16083,1510.7898771452985
Order_No_8184,1045.0319282764483
Order_No_14011,1670.6468342773242
Order_No_22660,1542.0560393052094
Order_No_2501,1701.720025726041
Order_No_23934,2057.58323636131
Order_No_13179,943.1966767934157
Order_No_25191,973.474522751154
Order_No_16381,1358.1183281506765
Order_No_15052,1392.342380788681
Order_No_10144,2143.6856884582903
Order_No_4309,1233.9440445136806
Order_No_3631,1542.9678207505874
Order_No_3102,930.6006509163362
Order_No_14330,1580.6445648260794
Order_No_8375,1325.2436918670282
Order_No_3804,1694.0147307524255
Order_No_13817,965.6897650209668
Order_No_73,1044.0923609805905
Order_No_13329,587.2613979791004
Order_No_27514,2620.122044024307
Order_No_15161,2849.1588182716096
Order_No_10310,1914.847579330681
Order_No_10814,897.4026432699411
Order_No_21397,1541.5729505140423
Order_No_1033,835.9612531185794
Order_No_14857,1362.4699104337287
Order_No_5784,2565.8827821961404
Order_No_7041,1893.3116276167655
Order_No_976,759.1050575377594
Order_No_1323,2100.0788835867806
Order_No_24269,1239.903982170712
Order_No_8145,449.5384375092252
Order_No_18898,1055.113475866392
Order_No_2353,1931.633758997059
Order_No_20438,1550.2681995465045
Order_No_21318,482.1919937778675
Order_No_432,3401.575149274528
Order_No_28265,2076.206598576022
Order_No_17853,1368.871195823633
Order_No_3888,1645.2965326364886
Order_No_19004,830.1829571078651
Order_No_3751,1400.6356087359454
Order_No_24072,1322.7874530910628
Order_No_6192,2480.8235138080577
Order_No_23991,1638.9495572809628
Order_No_9669,1530.913515152506
Order_No_9159,1383.4778424610652
Order_No_3469,380.23323985037314
Order_No_8175,858.2182318715004
Order_No_19400,2317.053516484661
Order_No_19301,983.0250165144188
Order_No_7079,1925.2027773270968
Order_No_6179,1404.4716058026333
Order_No_7898,1579.6010989021545
Order_No_8398,1333.162727938945
Order_No_26262,1148.9591372031516
Order_No_11181,1787.6789929701333
Order_No_11359,1771.9439551599735
Order_No_27119,1386.8055289073181
Order_No_22979,538.9600306371814
Order_No_20357,965.8758118514234
Order_No_11599,2095.296113107021
Order_No_27419,2389.66153961712
Order_No_28027,1650.1573082129269
Order_No_9240,994.2723460560464
Order_No_10621,2091.374580748279
Order_No_9573,250.25403989503684
Order_No_16641,1716.8535033470052
Order_No_17532,2201.79442438749
Order_No_27475,1493.7335776499328
Order_No_17860,682.9485189254574
Order_No_21510,1289.3879311824949
Order_No_20057,605.899663346232
Order_No_5742,2530.975520537717
Order_No_12926,790.4220821058642
Order_No_1100,948.796796404853
Order_No_16665,1390.6945410636347
Order_No_3239,239.2992533673096
Order_No_6527,1794.1524089865652
Order_No_27436,2946.5974691299266
Order_No_25724,1421.4962151655727
Order_No_18565,1431.805920945926
Order_No_13991,1415.0512523515881
Order_No_10370,614.9541846759039
Order_No_20802,2305.5371344598043
Order_No_7216,1092.4808425663305
Order_No_20243,1259.4331073548035
Order_No_963,2176.4202703044084
Order_No_7077,752.5109420141325
Order_No_15921,1588.4256288457057
Order_No_14182,2522.27001091467
Order_No_2513,1486.827175162276
Order_No_11162,2039.02932426832
Order_No_10498,945.0714815878108
Order_No_27109,1623.5411170738314
Order_No_27510,2428.5122654153765
Order_No_28242,2599.5347984754567
Order_No_5402,1594.0700929434681
Order_No_16501,773.780523028996
Order_No_25394,1576.38347674312
Order_No_12173,1059.760222315681
Order_No_3494,1066.6729798051329
Order_No_7796,955.8530182364484
Order_No_14650,1005.114434095536
Order_No_14378,462.79177110327333
Order_No_9010,1045.719162778676
Order_No_6513,1074.0284646891466
Order_No_5698,387.4295441039085
Order_No_17470,1289.613825941633
Order_No_17935,1409.4428015178798
Order_No_14047,969.8160429837973
Order_No_6487,637.6483688707523
Order_No_13205,452.4219108153629
Order_No_12730,747.8342504806004
Order_No_23447,978.2530043399692
Order_No_21544,1881.4088913721296
Order_No_19834,416.07352378172254
Order_No_13595,1683.1954177946118
Order_No_10952,1445.6927274404388
Order_No_16061,1294.2865056788814
Order_No_11082,983.7893674809112
Order_No_9973,1504.870755356949
Order_No_24129,1176.9996386819694
Order_No_17456,504.0900266359913
Order_No_13130,968.6658889089103
Order_No_17508,989.9127816725322
Order_No_24719,846.4872363894046
Order_No_1122,1137.742428444888
Order_No_13598,1185.4021659674854
Order_No_15418,2027.2998632632464
Order_No_12370,1652.2831083021392
Order_No_9588,1133.4989692696927
Order_No_15534,942.1941292498759
Order_No_11299,2587.768265153609
Order_No_17032,824.7087043397041
Order_No_2086,1456.1321602675396
Order_No_662,742.4202450810643
Order_No_18016,2859.3433894687496
Order_No_20168,2507.6923363021137
Order_No_24567,562.8172908326324
Order_No_6364,1667.6951890929868
Order_No_9163,1980.1000246356507
Order_No_21269,1968.328189541949
Order_No_23463,860.6371220445379
Order_No_12415,1626.9534636108233
Order_No_19530,518.8272020321601
Order_No_15036,388.5531941464815
Order_No_8329,1846.8557874319467
Order_No_17871,506.24055061476247
Order_No_15812,1857.7950623446613
Order_No_1417,488.07414020317987
Order_No_557,1263.4566776212396
Order_No_2749,1021.6965095252091
Order_No_11273,1136.967073152171
Order_No_12502,1734.0342645931325
Order_No_16703,1566.5755074093852
Order_No_11533,798.2331544319694
Order_No_17269,752.2012678039991
Order_No_1906,1931.6732920575687
Order_No_24525,1562.1940706465484
Order_No_20167,1000.4148930476313
Order_No_10048,303.31085255165266
Order_No_19620,380.4507254048895
Order_No_28249,1564.4891644652037
Order_No_2180,1389.5597788889227
Order_No_11898,1544.3063595173733
Order_No_4533,1675.7970803572186
Order_No_3644,1255.777681191461
Order_No_554,2126.132767296289
Order_No_10375,1233.0933663954293
Order_No_20558,1221.7866488098807
Order_No_2982,1400.5729371895816
Order_No_22670,2099.272544217407
Order_No_24772,487.41572096640635
Order_No_20708,987.4432359198199
Order_No_10470,1967.320119885708
Order_No_13917,1942.25386709034
Order_No_25392,1182.6400097508013
Order_No_10153,1362.8244819293761
Order_No_16467,1334.8899389894013
Order_No_5539,1069.5709276397338
Order_No_9069,2688.7738257904807
Order_No_4233,947.3968601308096
Order_No_9977,1071.7013656462368
Order_No_8910,1681.570101881758
Order_No_22925,2039.7549756431051
Order_No_3422,1930.881265111937
Order_No_16377,2100.9890420955867
Order_No_4750,1041.9959356618147
Order_No_3565,3405.8070411604494
Order_No_10981,1234.603170787508
Order_No_8065,1477.2844459965127
Order_No_27736,1506.4235234116204
Order_No_18818,2159.606775046093
Order_No_24447,1688.235527149227
Order_No_7565,703.1276010105938
Order_No_11098,1325.7767585121328
Order_No_16378,1032.2169039978037
Order_No_22111,1986.9053928720525
Order_No_24813,2870.04761582442
Order_No_18073,1755.5734713851998
Order_No_7393,2273.0416836379445
Order_No_3604,2561.042987564841
Order_No_7722,1252.1188700884234
Order_No_6473,1380.649029870323
Order_No_16328,1144.08292542249
Order_No_6951,1385.5682247743334
Order_No_27115,2136.456870479431
Order_No_4833,1873.8802404887101
Order_No_26220,1295.3355903424472
Order_No_19347,1188.8177449065645
Order_No_23754,1479.0781714552813
Order_No_26312,1397.0266204316085
Order_No_6258,279.1779389234234
Order_No_8187,1236.5698619032135
Order_No_24254,1.0
Order_No_23923,1.0
Order_No_18348,464.92239599646746
Order_No_6143,1.0
Order_No_11761,1183.0025512238299
Order_No_25890,1.0
Order_No_12525,1.0
Order_No_17819,1.0
Order_No_7530,1.0
Order_No_3087,1470.6856614735245
Order_No_16681,823.882989005826
Order_No_22705,921.9687818684906
Order_No_12330,1247.0210763528885
Order_No_9936,1.0
Order_No_14792,322.3222325839688
Order_No_27480,2338.7265896352856
Order_No_12371,1721.2655169603333
Order_No_23841,571.6169129238642
Order_No_5723,686.120920209034
Order_No_7107,2807.344504149356
Order_No_8354,1599.138470980377
Order_No_16616,1018.2343283873869
Order_No_13299,1582.0349417529449
Order_No_9846,1352.1503118573255
Order_No_23302,2328.587834686536
Order_No_21129,1914.6867844846563
Order_No_6218,2871.0306635034503
Order_No_19174,2404.986785424291
Order_No_17504,1601.33672538487
Order_No_13417,2641.290986917331
Order_No_20985,1631.6595553345978
Order_No_8974,2140.533366431948
Order_No_16102,2413.11389878986
Order_No_18610,2678.010834381101
Order_No_15240,1829.6272637487855
Order_No_8222,2189.413142572012
Order_No_9716,2582.040902703768
Order_No_2322,2013.7900240733873
Order_No_20909,3009.130712005346
Order_No_21364,2100.337978722295
Order_No_5142,1121.9904747655237
Order_No_24450,2739.597629550902
Order_No_6650,2868.3430450739106
Order_No_5838,2186.422818670341
Order_No_5507,1135.0198134857785
Order_No_14746,1995.9835672863992
Order_No_19695,1685.6069652684964
Order_No_16731,1822.2455650780846
Order_No_26896,1430.9271321054348
Order_No_19027,2766.0835420876756
Order_No_7476,1772.4743567498026
Order_No_7552,1175.1124652717062
Order_No_1197,3180.778219376241
Order_No_24734,1674.36940480464
Order_No_21567,1393.4410396483527
Order_No_20868,2295.1309873532537
Order_No_23886,1739.3289302565188
Order_No_20995,1987.0332144929362
Order_No_2832,591.1895203057937
Order_No_18513,872.8179803405601
Order_No_20644,2271.5047625851385
Order_No_15252,1683.7141562510315
Order_No_22288,1455.1495085673525
Order_No_28091,1165.04080726344
Order_No_15758,1124.6427169979816
Order_No_6985,1370.1511386040165
Order_No_19182,1903.036673638368
Order_No_16029,1334.5535105184915
Order_No_7628,1412.8004849485387
Order_No_12870,2294.503066332641
Order_No_5874,2995.00592495526
Order_No_3122,2597.36400777953
Order_No_14202,1532.4551499958852
Order_No_18634,2381.920421692785
Order_No_17859,1322.5249287169227
Order_No_12989,2060.2794389145947
Order_No_11519,1801.9013109435416
Order_No_27804,1014.5869481654172
Order_No_14750,1883.8020813058627
Order_No_27640,1260.4834530129829
Order_No_9577,1123.3870175157008
Order_No_25067,1559.257296506412
Order_No_5630,1802.954333246229
Order_No_1662,2621.7796016941297
Order_No_20854,937.5785211252313
Order_No_10597,2352.728294764974
Order_No_14406,2280.306936929332
Order_No_3515,1237.438049096405
Order_No_479,1938.7435307757787
Order_No_13506,1477.6830839179254
Order_No_8094,1581.0361338122545
Order_No_11527,795.1709710337109
Order_No_1560,1677.2355022778302
Order_No_27797,771.2986983448445
Order_No_28257,1569.0244771586529
Order_No_28126,1656.2878768632456
Order_No_8053,1382.1456348670272
Order_No_2916,396.51016436924147
Order_No_4016,1215.2684947564846
Order_No_1978,1123.3988421405463
Order_No_7551,670.0211424183744
Order_No_18878,1706.7652662416895
Order_No_17852,1345.8200914566205
Order_No_12724,2267.141109200873
Order_No_5052,2651.1758023561943
Order_No_9638,1284.885184485911
Order_No_18608,2832.1007988118963
Order_No_10943,2489.381048625199
Order_No_19284,992.8029036470488
Order_No_19089,1142.326775869762
Order_No_18792,1311.6219000350486
Order_No_27785,1754.4759912409156
Order_No_6310,754.8105501785121
Order_No_3396,1019.5810263827243
Order_No_13210,759.7091211048773
Order_No_27338,1482.8275511085321
Order_No_9449,2123.4991306027896
Order_No_9953,2463.608906846044
Order_No_21319,1430.3839254143911
Order_No_6131,1618.7167664827814
Order_No_16248,2066.542604460041
Order_No_25511,2129.7468097774345
Order_No_17581,1038.2124218372428
Order_No_15622,1476.7630900385354
Order_No_17371,1896.7403540179168
Order_No_3498,1549.1905067512796
Order_No_21353,1841.2436863344722
Order_No_15321,2241.127259095645
Order_No_2430,1445.6970745124654
Order_No_12487,1778.6216651953382
Order_No_10610,1370.217673936233
Order_No_13632,831.9368833243643
Order_No_14310,2305.2981316085793
Order_No_20219,1711.4787721287576
Order_No_24255,1681.8247722420056
Order_No_5688,2203.7298887463407
Order_No_2098,1037.4602536897437
Order_No_1638,2266.509113002976
Order_No_5930,1333.3099956796304
Order_No_23690,1217.1513226094921
Order_No_39,1539.6732223792733
Order_No_4504,1390.1093854997107
Order_No_21781,362.7792821782296
Order_No_18092,1411.4577637937766
Order_No_22970,1095.8813418606096
Order_No_10140,728.5017667436861
Order_No_25566,1226.0241508211275
Order_No_10010,1936.9156731598575
Order_No_13320,1381.980754112223
Order_No_25781,402.7836296191472
Order_No_11047,540.6143882822889
Order_No_19150,395.9915279697106
Order_No_13956,1443.9475618486556
Order_No_2795,1983.3698976100227
Order_No_9239,595.9658948532742
Order_No_25948,1365.3251471097847
Order_No_24195,344.3282866254103
Order_No_21625,1132.4465500882159
Order_No_27048,1483.4928109712
Order_No_17009,1474.3916327807763
Order_No_25336,1649.1242771042164
Order_No_5171,1901.5707719732397
Order_No_15698,1666.213438855144
Order_No_22233,1274.5639221874098
Order_No_26486,1949.8757485757903
Order_No_2207,2069.5549154115233
Order_No_25857,1934.4351970726948
Order_No_11783,1935.584961716764
Order_No_24512,1521.2383252904492
Order_No_8030,1782.967260155574
Order_No_12442,768.7588615028598
Order_No_16773,1233.266192690071
Order_No_7245,1438.777901836971
Order_No_22380,1938.0671504044242
Order_No_24611,1474.1522914573816
Order_No_11281,1477.5247269158515
Order_No_20685,1882.704455612673
Order_No_25650,2948.0840408125823
Order_No_7279,1374.8942537461498
Order_No_21590,1801.3750108433887
Order_No_15175,2268.268085818417
Order_No_2549,2026.7584001545329
Order_No_21355,892.7662676493492
Order_No_13240,2212.9460475884844
Order_No_12289,2641.2417741124523
Order_No_13640,1523.7907630908303
Order_No_7348,1757.604729450919
